流水號,編號,區域,里,路街,位置,類型,方向,燈別,瓦數,isOldId,X,Y,燈桿形式,高度
40634,850136,四,過嶺里,福嶺路,過嶺里福嶺路399號左邊對面第三桿,水泥桿,,鈉光燈,250,FALSE,267944.625,2762622,自備桿,6
909729,850137,四,過嶺里,福嶺路,過嶺里福嶺路4鄰,水泥桿,,鈉光燈,250,FALSE,267953.25,2762651.25,自備桿,6
909730,850138,四,過嶺里,福達路一段,過嶺里福達路一段4鄰,水泥桿,,鈉光燈,250,FALSE,267794.9375,2762493,自備桿,6
909731,850139,四,過嶺里,福達路一段,過嶺里福達路一段4鄰,水泥桿,,鈉光燈,250,FALSE,267760.5,2762518.5,自備桿,6
909732,850140,四,過嶺里,福達路一段,過嶺里福達路一段山葉宿舍旁,水泥桿,,鈉光燈,250,FALSE,267733.7813,2762534,自備桿,6
909733,850141,四,過嶺里,福達路一段,過嶺里福達路一段4鄰,水泥桿,,鈉光燈,250,FALSE,267690.5313,2762556.25,自備桿,6
909734,850142,四,過嶺里,福達路一段,過嶺里福達路一段4鄰,水泥桿,,鈉光燈,250,FALSE,267702.4375,2762594,自備桿,6
909735,850143,四,過嶺里,福達路一段,過嶺里福達路一段4鄰,水泥感,,鈉光燈,250,FALSE,267683.375,2762629.5,自備桿,6
909736,850144,四,過嶺里,福達路一段,過嶺里福達路一段15號,水泥桿,,鈉光燈,250,FALSE,267665.0625,2762638,自備桿,6
909737,850145,四,過嶺里,福達路一段,過嶺里福達路一段165號左邊,水泥感,,鈉光燈,250,FALSE,267682.5625,2762650.75,自備桿,6
909738,850146,四,過嶺里,福達路一段,過嶺里福達路一段162號對面,水泥桿,,鈉光燈,250,FALSE,267658.4688,2762652.25,自備桿,6
99722245,850146-1,四,過嶺里,福達路一段,過嶺里福達路一段162號對面,水泥桿,,鈉光燈,250,FALSE,267658.4688,2762652.25,自備桿,6
909739,850147,四,過嶺里,福嶺路,過嶺里福嶺路三鄰,水泥桿,,鈉光燈,250,FALSE,267616.875,2762207,自備桿,6
909740,850148,四,過嶺里,福嶺路,過嶺里福嶺路三鄰95巷,水泥桿,,鈉光燈,250,FALSE,267583.4688,2762228,自備桿,6
909741,850149,四,過嶺里,福嶺路,過嶺里福嶺路三鄰112巷6號左邊,水泥桿,,鈉光燈,250,FALSE,267582.9063,2761985.5,自備桿,6
909742,850150,四,過嶺里,福嶺路,過嶺里福嶺路三鄰112巷8號右邊,水泥桿,,鈉光燈,250,FALSE,267603.5625,2761972,自備桿,6
909743,850151,四,過嶺里,福嶺路,過嶺里福嶺路97號右後,水泥桿,,鈉光燈,250,FALSE,267536.9375,2762030.75,台電桿,10
909744,850152,四,過嶺里,福嶺路,過嶺里福嶺路三鄰95巷30號對面,水泥桿,,鈉光燈,250,FALSE,267496,2762065.75,自備桿,6
